time,open,high,low,close,tick_volume,spread,real_volume
1615405500,1.19097,1.1912,1.19067,1.19081,844,1,0
1615406400,1.19081,1.19223,1.19014,1.19158,2469,1,0
1615407300,1.1916,1.19191,1.1909,1.19153,1872,1,0
1615408200,1.19153,1.1917,1.19109,1.19137,1328,1,0
1615409100,1.19135,1.19151,1.19089,1.19142,1117,1,0
1615410000,1.19142,1.19208,1.19126,1.192,986,1,0
1615410900,1.192,1.19221,1.19191,1.19205,734,1,0
1615411800,1.19205,1.19214,1.19175,1.1919,810,1,0
1615412700,1.1919,1.19237,1.19183,1.1920600000000001,1007,1,0
1615413600,1.1921,1.19247,1.19188,1.19201,820,1,0
1615414500,1.19201,1.19232,1.192,1.19208,633,1,0
1615415400,1.19209,1.1924299999999999,1.19195,1.1924,428,1,0
1615416300,1.1924,1.19275,1.19225,1.19266,582,1,0
1615417200,1.1926700000000001,1.19273,1.19238,1.19263,508,1,0
1615418100,1.19263,1.19298,1.19261,1.19295,259,1,0
1615419000,1.19296,1.19297,1.19278,1.1928,214,1,0
1615419900,1.19279,1.19291,1.19269,1.19284,319,1,0
1615420800,1.19283,1.19288,1.19245,1.19259,99,2,0
1615421700,1.19257,1.19289,1.19253,1.19269,349,1,0
1615422600,1.19268,1.1928,1.19214,1.19249,158,9,0
1615423500,1.19249,1.19261,1.19244,1.19255,118,7,0
1615424400,1.19268,1.19287,1.19265,1.1927,436,1,0
1615425300,1.1927,1.19284,1.19255,1.19256,381,1,0
1615426200,1.19257,1.1927,1.19254,1.19256,225,1,0
1615427100,1.19256,1.19262,1.19241,1.1924299999999999,283,1,0
1615428000,1.19242,1.1929,1.19238,1.19265,689,1,0
1615428900,1.19265,1.19271,1.19208,1.19208,558,1,0
1615429800,1.19208,1.19222,1.19173,1.19173,324,1,0
1615430700,1.19174,1.19196,1.19158,1.19191,496,1,0
1615431600,1.19191,1.1920600000000001,1.19177,1.192,666,1,0
1615432500,1.19197,1.19242,1.19197,1.19218,479,1,0
1615433400,1.19218,1.1923300000000001,1.19173,1.19181,641,1,0
1615434300,1.19181,1.1924299999999999,1.1918,1.19217,842,1,0
1615435200,1.19218,1.19299,1.19218,1.1929,804,1,0
1615436100,1.1929,1.19345,1.19282,1.19315,661,1,0
1615437000,1.19315,1.19348,1.19306,1.19317,556,1,0
1615437900,1.19317,1.19331,1.1928,1.19286,542,1,0
1615438800,1.1929,1.193,1.19276,1.19298,664,1,0
1615439700,1.19298,1.1932,1.19292,1.19316,579,1,0
1615440600,1.19317,1.19318,1.19291,1.19299,319,1,0
1615441500,1.19299,1.19332,1.19298,1.19316,409,1,0
1615442400,1.19317,1.1932,1.19262,1.19269,346,1,0
1615443300,1.19269,1.19282,1.19265,1.19276,384,1,0
1615444200,1.19278,1.1929,1.19255,1.19258,555,1,0
1615445100,1.19258,1.19279,1.19249,1.19276,559,1,0
1615446000,1.19275,1.19286,1.19262,1.19273,684,1,0
1615446900,1.19274,1.19275,1.19257,1.19262,526,1,0
1615447800,1.19262,1.19274,1.19255,1.19262,417,1,0
1615448700,1.19263,1.19291,1.19255,1.19273,628,1,0
1615449600,1.19273,1.19279,1.19188,1.19213,849,1,0
1615450500,1.19212,1.19236,1.1920600000000001,1.19231,595,1,0
1615451400,1.19232,1.19301,1.19228,1.19298,518,1,0
1615452300,1.19298,1.19321,1.19289,1.193,528,1,0
1615453200,1.19301,1.1934,1.1924299999999999,1.1933799999999999,856,1,0
